"","x"
"1",90.3770755131517
"2",91.2272305743618
"3",90.501152319029
"4",94.9172214957777
"5",88.3068215873327
"6",91.1577776688187
"7",92.85341805241
"8",88.3162086873994
"9",91.1543020317652
"10",86.8385922800595
"11",93.4867799473411
"12",87.9587832378743
"13",86.5495958638218
"14",88.527145293315
"15",90.1792989721881
"16",88.7192533966936
"17",86.5724261132146
"18",90.7157304810499
"19",92.6307156869051
"20",91.3564389344452
"21",89.1458486506337
"22",88.9638033690483
"23",88.5843183857391
"24",92.092520603611
"25",85.2270664061301
"26",91.9060198464304
"27",90.9350518775955
"28",90.2388432412729
"29",93.1346311877711
"30",90.3557098227901
"31",89.1790051360801
"32",92.3746807443195
"33",89.4705548467158
"34",92.3963101251698
"35",90.3341855698647
"36",91.150202763884
"37",88.2933364860468
"38",90.7594406061295
"39",90.0590499286684
"40",89.9522179659206
"41",90.4393580672829
"42",89.3468420086695
"43",91.0986100707874
"44",88.3155400931956
"45",92.9609691851579
"46",89.5285497206354
"47",90.7891647807256
"48",86.9715120611042
"49",93.5872090149415
"50",91.6559634175422
"51",89.2091226913726
"52",92.0755683621871
"53",90.513129507585
"54",89.3616296851861
"55",90.9839202756243
"56",88.4336875432213
"57",92.9112937918744
"58",88.4639409765597
"59",88.3630481493779
"60",91.4339469653825
"61",89.4204388832553
"62",90.6213612588289
"63",88.0565200713381
"64",85.0300349449714
"65",90.0680497150332
"66",88.5983783585592
"67",91.7688811964909
"68",88.9766869445868
"69",89.6226104463238
"70",89.761117892949
"71",89.9308714655214
"72",90.9420680334547
"73",92.4165080124386
"74",86.5283013192972
"75",91.5828799645425
"76",91.9630674530517
"77",89.0844873598442
"78",89.7686803148091
"79",91.271311505231
"80",91.4051210800349
"81",87.9702424481318
"82",90.0501737331153
"83",89.4406422382367
"84",90.3138734061797
"85",88.4946090126255
"86",91.3528308475655
"87",89.3761807107344
"88",90.0503299578781
"89",88.9557183350203
"90",91.7620248043509
"91",89.4840839769044
"92",91.2014923871241
"93",89.5198576288651
"94",91.7897597147074
"95",91.6641085526573
"96",88.7529366829362
"97",90.7595505889499
"98",88.1961324357039
"99",89.1274006947577
"100",91.1413934998545
"101",96.3103416837858
"102",96.8890332496778
"103",93.4573334206032
"104",94.9386057492603
"105",99.4974717987477
"106",93.8457647484215
"107",99.1121813729094
"108",94.1233083831233
"109",95.3727028007069
"110",93.8228715391367
"111",93.0441986009472
"112",95.1225137199584
"113",93.9395869290891
"114",93.7482213312977
"115",94.8279558056855
"116",92.2706878961837
"117",96.7097182040721
"118",94.3415644474416
"119",93.8616790511949
"120",96.9197987072642
"121",94.6393628911993
"122",95.0059624769497
"123",92.5285461011593
"124",95.6012601421959
"125",95.0859525781861
"126",91.9849611484709
"127",96.896953529286
"128",93.9720019587948
"129",94.8398674573065
"130",95.971294881582
"131",92.6344561233286
"132",95.9256912310352
"133",94.5977661511827
"134",91.0342152837568
"135",96.6494469288388
"136",94.6933205737474
"137",93.3863797156766
"138",96.8595627461792
"139",96.2727148792616
"140",93.9680387473735
"141",94.1189939684391
"142",99.3181050335105
"143",95.6685918380997
"144",93.9186948719896
"145",96.0310741519936
"146",92.1584032334364
"147",96.4440879642536
"148",95.6068079269572
"149",94.5260984026674
"150",93.6453699754992
"151",95.793026191378
"152",96.2792769483481
"153",92.4042500370819
"154",93.0100156037613
"155",97.1472982374903
"156",95.0482587964196
"157",96.8359880823011
"158",94.8484994909471
"159",97.6733185042656
"160",95.686447925317
"161",92.8435052960096
"162",93.9136432170014
"163",98.3107567755384
"164",94.9055977783317
"165",92.2753754567912
"166",94.0676897910482
"167",94.3918995592022
"168",95.7036010343063
"169",96.2917766789983
"170",97.1977637433042
"171",94.9935081805264
"172",96.4586184781556
"173",92.3730405955307
"174",95.3166583243099
"175",95.1458347023305
"176",95.0175653648122
"177",92.2574551706196
"178",94.2324874815018
"179",95.3465649117026
"180",96.7439980607822
"181",97.3529110719489
"182",94.2282622895607
"183",95.6810080959104
"184",96.1823574559824
"185",94.6423925272338
"186",96.4383846666205
"187",92.4968329836683
"188",93.6669042019521
"189",94.5480974827584
"190",96.6709608166765
"191",95.0777410891326
"192",95.9217959779737
"193",93.6315339706074
"194",98.0325973357903
"195",95.1901085362857
"196",93.9771731337697
"197",97.4150617816211
"198",95.6657334663826
"199",97.7839166465922
"200",93.8200378505156
